date,open,high,low,close,difference,volume,turnover,transactions
2017-07-24 00:00:00+00,6.8,6.8,6.8,6.8,0,200,1.36,2
2017-07-25 00:00:00+00,6.8,6.8,6.8,6.8,0,288,1.96,1
2017-07-26 00:00:00+00,0,0,0,6.8,0,0,0,0
2017-07-27 00:00:00+00,0,0,0,6.8,0,0,0,0
2017-07-28 00:00:00+00,0,0,0,6.8,0,0,0,0
2017-07-31 00:00:00+00,7.4,7.4,6.8,6.8,0,103,0.7,2
2017-08-01 00:00:00+00,0,0,0,6.8,0,0,0,0
2017-08-02 00:00:00+00,0,0,0,6.8,0,0,0,0
2017-08-03 00:00:00+00,0,0,0,6.8,0,0,0,0
2017-08-04 00:00:00+00,0,0,0,6.8,0,0,0,0
2017-08-07 00:00:00+00,0,0,0,6.8,0,0,0,0
2017-08-08 00:00:00+00,0,0,0,6.8,0,0,0,0
2017-08-09 00:00:00+00,0,0,0,6.8,0,0,0,0
2017-08-10 00:00:00+00,7,7,7,7,2.94,1075,7.53,1
2017-08-11 00:00:00+00,0,0,0,7,0,0,0,0
2017-08-14 00:00:00+00,0,0,0,7,0,0,0,0
2017-08-16 00:00:00+00,0,0,0,7,0,0,0,0
2017-08-17 00:00:00+00,0,0,0,7,0,0,0,0
2017-08-18 00:00:00+00,0,0,0,7,0,0,0,0
2017-08-21 00:00:00+00,0,0,0,7,0,0,0,0
2017-08-22 00:00:00+00,0,0,0,7,0,0,0,0
2017-08-23 00:00:00+00,0,0,0,7,0,0,0,0
2017-08-24 00:00:00+00,0,0,0,7,0,0,0,0
2017-08-25 00:00:00+00,0,0,0,7,0,0,0,0
2017-08-28 00:00:00+00,0,0,0,7,0,0,0,0
2017-08-29 00:00:00+00,0,0,0,7,0,0,0,0
2017-08-30 00:00:00+00,0,0,0,7,0,0,0,0
2017-08-31 00:00:00+00,0,0,0,7,0,0,0,0
2017-09-01 00:00:00+00,0,0,0,7,0,0,0,0
2017-09-04 00:00:00+00,0,0,0,7,0,0,0,0
2017-09-05 00:00:00+00,0,0,0,7,0,0,0,0
2017-09-06 00:00:00+00,0,0,0,7,0,0,0,0
2017-09-07 00:00:00+00,0,0,0,7,0,0,0,0
2017-09-08 00:00:00+00,0,0,0,7,0,0,0,0
2017-09-11 00:00:00+00,0,0,0,7,0,0,0,0
2017-09-12 00:00:00+00,0,0,0,7,0,0,0,0
2017-09-13 00:00:00+00,0,0,0,7,0,0,0,0
2017-09-14 00:00:00+00,0,0,0,7,0,0,0,0
2017-09-15 00:00:00+00,6.99,6.99,6.99,6.99,-0.14,3,0.02,1
2017-09-18 00:00:00+00,0,0,0,6.99,0,0,0,0
2017-09-19 00:00:00+00,0,0,0,6.99,0,0,0,0
2017-09-20 00:00:00+00,0,0,0,6.99,0,0,0,0
2017-09-21 00:00:00+00,0,0,0,6.99,0,0,0,0
2017-09-22 00:00:00+00,0,0,0,6.99,0,0,0,0
2017-09-25 00:00:00+00,0,0,0,6.99,0,0,0,0
2017-09-26 00:00:00+00,0,0,0,6.99,0,0,0,0
2017-09-27 00:00:00+00,0,0,0,6.99,0,0,0,0
2017-09-28 00:00:00+00,0,0,0,6.99,0,0,0,0
2017-09-29 00:00:00+00,0,0,0,6.99,0,0,0,0
2017-10-02 00:00:00+00,0,0,0,6.99,0,0,0,0
2017-10-03 00:00:00+00,0,0,0,6.99,0,0,0,0
2017-10-04 00:00:00+00,0,0,0,6.99,0,0,0,0
2017-10-05 00:00:00+00,0,0,0,6.99,0,0,0,0
2017-10-06 00:00:00+00,0,0,0,6.99,0,0,0,0
2017-10-09 00:00:00+00,0,0,0,6.99,0,0,0,0
2017-10-10 00:00:00+00,0,0,0,6.99,0,0,0,0
2017-10-11 00:00:00+00,0,0,0,6.99,0,0,0,0
2017-10-12 00:00:00+00,0,0,0,6.99,0,0,0,0
2017-10-13 00:00:00+00,0,0,0,6.99,0,0,0,0
2017-10-16 00:00:00+00,0,0,0,6.99,0,0,0,0
2017-10-17 00:00:00+00,0,0,0,6.99,0,0,0,0
2017-10-18 00:00:00+00,0,0,0,6.99,0,0,0,0
2017-10-19 00:00:00+00,0,0,0,6.99,0,0,0,0
2017-10-20 00:00:00+00,0,0,0,6.99,0,0,0,0
2017-10-23 00:00:00+00,0,0,0,6.99,0,0,0,0
2017-10-24 00:00:00+00,0,0,0,6.99,0,0,0,0
2017-10-25 00:00:00+00,0,0,0,6.99,0,0,0,0
2017-10-26 00:00:00+00,0,0,0,6.99,0,0,0,0
2017-10-27 00:00:00+00,0,0,0,6.99,0,0,0,0
2017-10-30 00:00:00+00,7.1,7.1,7.1,7.1,1.57,2,0.01,1
2017-10-31 00:00:00+00,0,0,0,7.1,0,0,0,0
2017-11-02 00:00:00+00,0,0,0,7.1,0,0,0,0
2017-11-03 00:00:00+00,0,0,0,7.1,0,0,0,0
2017-11-06 00:00:00+00,0,0,0,7.1,0,0,0,0
2017-11-07 00:00:00+00,0,0,0,7.1,0,0,0,0
2017-11-08 00:00:00+00,0,0,0,7.1,0,0,0,0
2017-11-09 00:00:00+00,0,0,0,7.1,0,0,0,0
2017-11-10 00:00:00+00,6.39,6.39,6.3,6.3,-11.27,124,0.79,2
2017-11-13 00:00:00+00,0,0,0,6.3,0,0,0,0
2017-11-14 00:00:00+00,7.1,7.1,7.1,7.1,12.7,2,0.01,1
2017-11-15 00:00:00+00,0,0,0,7.1,0,0,0,0
2017-11-16 00:00:00+00,0,0,0,7.1,0,0,0,0
2017-11-17 00:00:00+00,0,0,0,7.1,0,0,0,0
2017-11-20 00:00:00+00,0,0,0,7.1,0,0,0,0
2017-11-21 00:00:00+00,0,0,0,7.1,0,0,0,0
2017-11-22 00:00:00+00,0,0,0,7.1,0,0,0,0
2017-11-23 00:00:00+00,7.1,7.1,7.1,7.1,0,3,0.02,1
2017-11-24 00:00:00+00,0,0,0,7.1,0,0,0,0
2017-11-27 00:00:00+00,0,0,0,7.1,0,0,0,0
2017-11-28 00:00:00+00,0,0,0,7.1,0,0,0,0
2017-11-29 00:00:00+00,0,0,0,7.1,0,0,0,0
2017-11-30 00:00:00+00,0,0,0,7.1,0,0,0,0
2017-12-01 00:00:00+00,0,0,0,7.1,0,0,0,0
2017-12-04 00:00:00+00,0,0,0,7.1,0,0,0,0
2017-12-05 00:00:00+00,0,0,0,7.1,0,0,0,0
2017-12-06 00:00:00+00,0,0,0,7.1,0,0,0,0
2017-12-07 00:00:00+00,0,0,0,7.1,0,0,0,0
2017-12-08 00:00:00+00,0,0,0,7.1,0,0,0,0
2017-12-11 00:00:00+00,0,0,0,7.1,0,0,0,0
2017-12-12 00:00:00+00,0,0,0,7.1,0,0,0,0
2017-12-13 00:00:00+00,0,0,0,7.1,0,0,0,0
2017-12-14 00:00:00+00,0,0,0,7.1,0,0,0,0
2017-12-15 00:00:00+00,0,0,0,7.1,0,0,0,0
2017-12-18 00:00:00+00,0,0,0,7.1,0,0,0,0
2017-12-19 00:00:00+00,0,0,0,7.1,0,0,0,0
2017-12-20 00:00:00+00,0,0,0,7.1,0,0,0,0
2017-12-21 00:00:00+00,0,0,0,7.1,0,0,0,0
2017-12-22 00:00:00+00,6.99,6.99,6.99,6.99,-1.55,1,0.01,1
2017-12-27 00:00:00+00,0,0,0,6.99,0,0,0,0
2017-12-28 00:00:00+00,0,0,0,6.99,0,0,0,0
2017-12-29 00:00:00+00,0,0,0,6.99,0,0,0,0
2018-01-03 00:00:00+00,0,0,0,7,0,0,0,0
2018-01-04 00:00:00+00,0,0,0,7,0,0,0,0
2018-01-05 00:00:00+00,0,0,0,7,0,0,0,0
2018-01-08 00:00:00+00,0,0,0,7,0,0,0,0
2018-01-09 00:00:00+00,0,0,0,7,0,0,0,0
2018-01-10 00:00:00+00,0,0,0,7,0,0,0,0
2018-01-11 00:00:00+00,0,0,0,7,0,0,0,0
2018-01-12 00:00:00+00,0,0,0,7,0,0,0,0
2018-01-15 00:00:00+00,0,0,0,7,0,0,0,0
2018-01-16 00:00:00+00,0,0,0,7,0,0,0,0
2018-01-17 00:00:00+00,0,0,0,7,0,0,0,0
2018-01-18 00:00:00+00,0,0,0,7,0,0,0,0
2018-01-19 00:00:00+00,0,0,0,7,0,0,0,0
2018-01-22 00:00:00+00,0,0,0,7,0,0,0,0
2018-01-23 00:00:00+00,0,0,0,7,0,0,0,0
2018-01-24 00:00:00+00,0,0,0,7,0,0,0,0
2018-01-25 00:00:00+00,0,0,0,7,0,0,0,0
2018-01-26 00:00:00+00,0,0,0,7,0,0,0,0
2018-01-29 00:00:00+00,0,0,0,7,0,0,0,0
