date,open,high,low,close,difference,volume,turnover,transactions
2021-10-21 00:00:00+00,17.9,18,17.9,18,0.56,919,16.46,8
2021-10-22 00:00:00+00,18,18,17.9,17.9,-0.56,185,3.33,3
2021-10-25 00:00:00+00,17.9,18,17.9,17.9,0,390,7,7
2021-10-26 00:00:00+00,0,0,0,17.9,0,0,0,0
2021-10-27 00:00:00+00,0,0,0,17.9,0,0,0,0
2021-10-28 00:00:00+00,0,0,0,17.9,0,0,0,0
2021-10-29 00:00:00+00,0,0,0,17.9,0,0,0,0
2021-11-02 00:00:00+00,0,0,0,17.9,0,0,0,0
2021-11-03 00:00:00+00,0,0,0,17.9,0,0,0,0
2021-11-04 00:00:00+00,0,0,0,17.9,0,0,0,0
2021-11-05 00:00:00+00,0,0,0,17.9,0,0,0,0
2021-11-08 00:00:00+00,0,0,0,17.9,0,0,0,0
2021-11-09 00:00:00+00,0,0,0,17.9,0,0,0,0
2021-11-10 00:00:00+00,0,0,0,17.9,0,0,0,0
2021-11-12 00:00:00+00,0,0,0,17.9,0,0,0,0
2021-11-15 00:00:00+00,0,0,0,17.9,0,0,0,0
2021-11-16 00:00:00+00,0,0,0,17.9,0,0,0,0
2021-11-17 00:00:00+00,0,0,0,17.9,0,0,0,0
2021-11-18 00:00:00+00,0,0,0,17.9,0,0,0,0
2021-11-19 00:00:00+00,0,0,0,17.9,0,0,0,0
2021-11-22 00:00:00+00,0,0,0,17.9,0,0,0,0
2021-11-23 00:00:00+00,0,0,0,17.9,0,0,0,0
2021-11-24 00:00:00+00,0,0,0,17.9,0,0,0,0
2021-11-25 00:00:00+00,0,0,0,17.9,0,0,0,0
2021-11-26 00:00:00+00,0,0,0,17.9,0,0,0,0
2021-11-29 00:00:00+00,0,0,0,17.9,0,0,0,0
2021-11-30 00:00:00+00,0,0,0,17.9,0,0,0,0
2021-12-01 00:00:00+00,0,0,0,17.9,0,0,0,0
2021-12-02 00:00:00+00,0,0,0,17.9,0,0,0,0
2021-12-03 00:00:00+00,0,0,0,17.9,0,0,0,0
2021-12-06 00:00:00+00,0,0,0,17.9,0,0,0,0
2021-12-07 00:00:00+00,0,0,0,17.9,0,0,0,0
2021-12-08 00:00:00+00,0,0,0,17.9,0,0,0,0
2021-12-09 00:00:00+00,0,0,0,17.9,0,0,0,0
2021-12-10 00:00:00+00,0,0,0,17.9,0,0,0,0
2021-12-13 00:00:00+00,0,0,0,17.9,0,0,0,0
2021-12-14 00:00:00+00,0,0,0,17.9,0,0,0,0
2021-12-15 00:00:00+00,0,0,0,17.9,0,0,0,0
2021-12-16 00:00:00+00,0,0,0,17.9,0,0,0,0
2021-12-17 00:00:00+00,0,0,0,17.9,0,0,0,0
2021-12-20 00:00:00+00,0,0,0,17.9,0,0,0,0
2021-12-21 00:00:00+00,0,0,0,17.9,0,0,0,0
2021-12-22 00:00:00+00,0,0,0,17.9,0,0,0,0
2021-12-23 00:00:00+00,0,0,0,17.9,0,0,0,0
2021-12-27 00:00:00+00,0,0,0,17.9,0,0,0,0
2021-12-28 00:00:00+00,0,0,0,17.9,0,0,0,0
2021-12-29 00:00:00+00,0,0,0,17.9,0,0,0,0
2021-12-30 00:00:00+00,0,0,0,17.9,0,0,0,0
2022-01-03 00:00:00+00,0,0,0,17.9,0,0,0,0
2022-01-04 00:00:00+00,0,0,0,17.9,0,0,0,0
2022-01-05 00:00:00+00,0,0,0,17.9,0,0,0,0
2022-01-07 00:00:00+00,0,0,0,17.9,0,0,0,0
2022-01-10 00:00:00+00,0,0,0,17.9,0,0,0,0
2022-01-11 00:00:00+00,0,0,0,17.9,0,0,0,0
2022-01-12 00:00:00+00,0,0,0,17.9,0,0,0,0
2022-01-13 00:00:00+00,0,0,0,17.9,0,0,0,0
2022-01-14 00:00:00+00,0,0,0,17.9,0,0,0,0
2022-01-17 00:00:00+00,0,0,0,17.9,0,0,0,0
2022-01-18 00:00:00+00,0,0,0,17.9,0,0,0,0
2022-01-19 00:00:00+00,0,0,0,17.9,0,0,0,0
2022-01-20 00:00:00+00,0,0,0,17.9,0,0,0,0
2022-01-21 00:00:00+00,0,0,0,17.9,0,0,0,0
2022-01-24 00:00:00+00,0,0,0,17.9,0,0,0,0
